model,fpr,tpr
LR (claim amount only),0.12161144578313253,0.1816860465116279
LR (claim amount only),0.12161144578313253,0.18313953488372092
LR (claim amount only),0.12179969879518072,0.18313953488372092
LR (claim amount only),0.12179969879518072,0.18604651162790697
LR (claim amount only),0.12330572289156627,0.18604651162790697
LR (claim amount only),0.12330572289156627,0.1875
LR (claim amount only),0.1253765060240964,0.1875
LR (claim amount only),0.1253765060240964,0.18895348837209303
LR (claim amount only),0.12650602409638553,0.18895348837209303
LR (claim amount only),0.12650602409638553,0.19040697674418605
LR (claim amount only),0.12669427710843373,0.19040697674418605
LR (claim amount only),0.12669427710843373,0.19186046511627908
LR (claim amount only),0.12707078313253012,0.19186046511627908
LR (claim amount only),0.12707078313253012,0.1933139534883721
LR (claim amount only),0.1274472891566265,0.1933139534883721
LR (claim amount only),0.1274472891566265,0.19476744186046513
LR (claim amount only),0.1276355421686747,0.19476744186046513
LR (claim amount only),0.1276355421686747,0.19622093023255813
LR (claim amount only),0.12838855421686746,0.19622093023255813
LR (claim amount only),0.12838855421686746,0.19767441860465115
LR (claim amount only),0.12914156626506024,0.19767441860465115
LR (claim amount only),0.12914156626506024,0.19912790697674418
LR (claim amount only),0.1304593373493976,0.19912790697674418
LR (claim amount only),0.1304593373493976,0.2005813953488372
LR (claim amount only),0.13290662650602408,0.2005813953488372
LR (claim amount only),0.13290662650602408,0.20203488372093023
LR (claim amount only),0.1355421686746988,0.20203488372093023
LR (claim amount only),0.1355421686746988,0.20348837209302326
LR (claim amount only),0.13573042168674698,0.20348837209302326
LR (claim amount only),0.13573042168674698,0.20494186046511628
LR (claim amount only),0.13667168674698796,0.20494186046511628
LR (claim amount only),0.13667168674698796,0.2063953488372093
LR (claim amount only),0.13704819277108435,0.2063953488372093
LR (claim amount only),0.13704819277108435,0.20784883720930233
LR (claim amount only),0.1374246987951807,0.20784883720930233
LR (claim amount only),0.1374246987951807,0.20930232558139536
LR (claim amount only),0.1381777108433735,0.20930232558139536
LR (claim amount only),0.1381777108433735,0.21220930232558138
LR (claim amount only),0.1383659638554217,0.21220930232558138
LR (claim amount only),0.1383659638554217,0.2136627906976744
LR (claim amount only),0.13855421686746988,0.2136627906976744
LR (claim amount only),0.13855421686746988,0.21511627906976744
LR (claim amount only),0.140625,0.21511627906976744
LR (claim amount only),0.140625,0.21656976744186046
LR (claim amount only),0.14194277108433734,0.21656976744186046
LR (claim amount only),0.14194277108433734,0.2180232558139535
LR (claim amount only),0.1430722891566265,0.2180232558139535
LR (claim amount only),0.1430722891566265,0.2194767441860465
LR (claim amount only),0.14495481927710843,0.2194767441860465
LR (claim amount only),0.14495481927710843,0.22093023255813954
LR (claim amount only),0.14533132530120482,0.22093023255813954
LR (claim amount only),0.14533132530120482,0.22238372093023256
LR (claim amount only),0.14740210843373494,0.22238372093023256
LR (claim amount only),0.14740210843373494,0.2238372093023256
LR (claim amount only),0.14759036144578314,0.2238372093023256
LR (claim amount only),0.14759036144578314,0.22529069767441862
LR (claim amount only),0.14777861445783133,0.22529069767441862
LR (claim amount only),0.14777861445783133,0.22819767441860464
LR (claim amount only),0.14834337349397592,0.22819767441860464
LR (claim amount only),0.14834337349397592,0.22965116279069767
LR (claim amount only),0.14853162650602408,0.22965116279069767
LR (claim amount only),0.14853162650602408,0.2311046511627907
LR (claim amount only),0.15041415662650603,0.2311046511627907
LR (claim amount only),0.15041415662650603,0.23401162790697674
LR (claim amount only),0.15173192771084337,0.23401162790697674
LR (claim amount only),0.15173192771084337,0.2369186046511628
LR (claim amount only),0.15210843373493976,0.2369186046511628
LR (claim amount only),0.15210843373493976,0.23837209302325582
LR (claim amount only),0.15436746987951808,0.23837209302325582
LR (claim amount only),0.15436746987951808,0.23982558139534885
LR (claim amount only),0.15493222891566266,0.23982558139534885
LR (claim amount only),0.15493222891566266,0.24127906976744187
LR (claim amount only),0.1558734939759036,0.24127906976744187
LR (claim amount only),0.1558734939759036,0.24273255813953487
LR (claim amount only),0.1560617469879518,0.24273255813953487
LR (claim amount only),0.1560617469879518,0.2441860465116279
LR (claim amount only),0.15813253012048192,0.2441860465116279
LR (claim amount only),0.15813253012048192,0.24563953488372092
LR (claim amount only),0.1586972891566265,0.24563953488372092
LR (claim amount only),0.1586972891566265,0.24709302325581395
LR (claim amount only),0.1617093373493976,0.24709302325581395
LR (claim amount only),0.1617093373493976,0.24854651162790697
LR (claim amount only),0.16189759036144577,0.24854651162790697
LR (claim amount only),0.16189759036144577,0.25
LR (claim amount only),0.16472138554216867,0.25
LR (claim amount only),0.16472138554216867,0.251453488372093
LR (claim amount only),0.1667921686746988,0.251453488372093
LR (claim amount only),0.1667921686746988,0.25290697674418605
LR (claim amount only),0.16829819277108435,0.25290697674418605
LR (claim amount only),0.16829819277108435,0.2543604651162791
LR (claim amount only),0.17243975903614459,0.2543604651162791
LR (claim amount only),0.17243975903614459,0.2558139534883721
LR (claim amount only),0.17262801204819278,0.2558139534883721
LR (claim amount only),0.17262801204819278,0.25726744186046513
LR (claim amount only),0.17620481927710843,0.25726744186046513
LR (claim amount only),0.17620481927710843,0.25872093023255816
LR (claim amount only),0.17865210843373494,0.25872093023255816
LR (claim amount only),0.17865210843373494,0.2601744186046512
LR (claim amount only),0.18317018072289157,0.2601744186046512
LR (claim amount only),0.18317018072289157,0.2616279069767442
LR (claim amount only),0.18354668674698796,0.2616279069767442
LR (claim amount only),0.18354668674698796,0.26308139534883723
LR (claim amount only),0.18637048192771086,0.26308139534883723
LR (claim amount only),0.18637048192771086,0.26453488372093026
LR (claim amount only),0.18957078313253012,0.26453488372093026
LR (claim amount only),0.18957078313253012,0.26598837209302323
LR (claim amount only),0.19145331325301204,0.26598837209302323
LR (claim amount only),0.19145331325301204,0.26744186046511625
LR (claim amount only),0.1927710843373494,0.26744186046511625
